,アルバムID,属性,ﾚｱ,称号,名前,+,ｺｽﾄ,アルバム攻,アルバム守,MAX攻,MAX守,MAX確認,MAX攻/ｺｽﾄ,MAX守/ｺｽﾄ,特技名,対象属性,攻守,効果,備考,重複
,1002701,Cu,N,,遊佐こずえ,,11,860,1420,2258,3728,×,205.3,338.9,-,-,-,-,,
,1002801,Cu,N,,大沼くるみ,,11,1420,860,3728,2258,×,338.9,205.3,-,-,-,-,,
,1002901,Cu,N,,一ノ瀬志希,,11,860,1480,2258,3885,○,205.3,353.2,-,-,-,-,,
,1100102,Cu,N+,,島村卯月,+,2,192,288,636,954,×,318.0,477.0,-,-,-,-,,
,1100202,Cu,N+,,中野有香,+,2,288,192,954,636,○,477.0,318.0,-,-,-,-,,
,1100302,Cu,N+,,水本ゆかり,+,3,288,432,954,1432,×,318.0,477.3,-,-,-,-,,
,1100402,Cu,N+,,福山舞,+,4,384,576,1272,1908,×,318.0,477.0,-,-,-,-,,
,1100502,Cu,N+,,椎名法子,+,5,600,600,1989,1989,×,397.8,397.8,-,-,-,-,,
,1100602,Cu,N+,,今井加奈,+,6,720,720,2386,2386,×,397.7,397.7,-,-,-,-,,
,1100702,Cu,N+,,持田亜里沙,+,7,840,840,2783,2783,×,397.6,397.6,-,-,-,-,,
,1100802,Cu,N+,,三村かな子,+,7,984,984,3261,2307,○,465.9,329.6,-,-,-,-,,
,1100902,Cu,N+,,奥山沙織,+,8,624,1104,2068,3658,×,258.5,457.3,-,-,-,-,,
,1101002,Cu,N+,,間中美里,+,8,1104,816,3658,2704,×,457.3,338.0,-,-,-,-,,
,1101102,Cu,N+,,小日向美穂,+,9,1224,936,4055,3101,○,450.6,344.6,-,-,-,-,,
,1101202,Cu,N+,,緒方智絵里,+,9,744,1200,2465,3976,○,273.9,441.8,-,-,-,-,,
,1101302,Cu,N+,,五十嵐響子,+,10,1296,864,4294,2862,×,429.4,286.2,-,-,-,-,,
,1101402,Cu,N+,,柳瀬美由紀,+,10,1080,1320,3579,4373,×,357.9,437.3,-,-,-,-,,
,1101502,Cu,N+,,櫻井桃華,+,8,768,1152,2544,3816,×,318.0,477.0,-,-,-,-,,
,1101602,Cu,N+,,江上椿,+,9,1188,1188,3936,3936,×,437.3,437.3,-,-,-,-,,
,1101702,Cu,N+,,長富蓮実,+,10,1320,1080,4373,3579,×,437.3,357.9,-,-,-,-,,
,1101802,Cu,N+,[ﾊﾞﾚﾝﾀｲﾝ],椎名法子,+,10,1632,1008,5406,3340,○,540.6,334.0,-,-,-,-,,
,1101902,Cu,N+,,横山千佳,+,10,1200,1200,3976,3976,○,397.6,397.6,-,-,-,-,,
,1102002,Cu,N+,,関裕美,+,10,1080,1320,3579,4373,○,357.9,437.3,-,-,-,-,,
,1102102,Cu,N+,[ｼﾞｭｰﾝﾌﾞﾗｲﾄﾞ],五十嵐響子,+,11,1728,1344,5724,4452,○,520.4,404.7,-,-,-,-,,
,1102202,Cu,N+,[ﾑｰﾝﾗｲﾄﾊﾞﾆｰ],池袋晶葉,+,11,1656,1584,5487,5248,×,498.8,477.1,-,-,-,-,,
,1102302,Cu,N+,,太田優,+,11,1104,1536,3658,5088,×,332.5,462.5,-,-,-,-,,
,1102402,Cu,N+,,棟方愛海,+,11,1608,1128,5327,3737,○,484.3,339.7,-,-,-,-,北海道エリアから,
,1102502,Cu,N+,,藤本里奈,+,11,1080,1656,3579,5487,×,325.4,498.8,-,-,-,-,仙台エリア,
,1102602,Cu,N+,,大原みちる,+,11,1656,1080,5487,3579,○,498.8,325.4,-,-,-,-,愛媛エリア,
,1102702,Cu,N+,,遊佐こずえ,+,11,1032,1704,3419,5645,×,310.8,513.2,-,-,-,-,,
,1102802,Cu,N+,,大沼くるみ,+,11,1704,1032,5645,3419,×,513.2,310.8,-,-,-,-,,
,1102902,Cu,N+,,一ノ瀬志希,+,11,1032,1776,3419,5884,×,310.8,534.9,-,-,-,-,,
,1200101,Cu,R,,前川みく,,5,660,640,1733,1680,○,346.6,336.0,ﾏｲｸｱﾋﾟｰﾙ,クール,攻,小ダウン,,
,1200201,Cu,R,,赤西瑛梨華,,5,780,520,2048,1365,○,409.6,273.0,ｷｭｰﾄﾎﾞｲｽ,キュート,攻,小アップ,,
,1200301,Cu,R,,松原早耶,,6,760,800,1995,2100,○,332.5,350.0,複雑なﾀﾞﾝｽ,クール,守,小ダウン,,
,1200401,Cu,R,,相原雪乃,,6,620,940,1628,2468,○,271.3,411.3,ｷｭｰﾄﾀﾞﾝｽ,キュート,守,小アップ,,
,1200501,Cu,R,,宮本ﾌﾚﾃﾞﾘｶ,,10,1520,2080,3990,5460,○,399.0,546.0,小悪魔ｷｯｽ,キュート,攻守,小アップ,,
,1200601,Cu,R,,小早川紗枝,,12,2300,1540,6038,4043,○,503.2,336.9,-,-,-,-,,
,1200701,Cu,R,,西園寺琴歌,,12,2160,2160,5670,5670,○,472.5,472.5,-,-,-,-,,
,1200801,Cu,R,,双葉杏,,11,2300,1660,6038,4358,○,548.9,396.2,だらける,キュート,攻,中アップ,,
,1200901,Cu,R,,楊菲菲,,7,1360,880,3570,2310,○,510.0,330.0,-,-,-,-,,
,1201001,Cu,R,,桃井あずき,,9,1140,1740,2993,4568,○,332.6,507.6,-,-,-,-,,
,1201101,Cu,R,,涼宮星花,,10,1600,1600,4200,4200,○,420.0,420.0,ﾗﾌﾞﾀﾞﾝｽ,キュート,守,中アップ,,
,1201201,Cu,R,,月宮雅,,11,1400,2120,3675,5565,○,334.1,505.9,-,-,-,-,,
,1201301,Cu,R,,兵藤ﾚﾅ,,8,1280,1720,3360,4515,○,420.0,564.4,ﾏｲｸﾊﾟﾌｫｰﾏﾝｽ,クール,攻,中ダウン,,
,1201401,Cu,R,,道明寺歌鈴,,9,1760,1120,4620,2940,○,513.3,326.7,-,-,-,-,,
,1201501,Cu,R,,高槻やよい,,5,1000,600,2625,1575,○,525.0,315.0,ﾊｲﾀｰｯﾁ!,キュート,攻守,小アップ,,
,1201601,Cu,R,,菊地真,,6,720,1200,1890,3150,○,315.0,525.0,ｽﾎﾟｰﾂ万能,クール,攻守,中ダウン,,
,1201701,Cu,R,,我那覇響,,7,1200,1200,3150,3150,○,450.0,450.0,みなぎる自信,キュート,攻守,中アップ,,
,1201801,Cu,R,,柳清良,,8,1040,1040,2730,2730,○,341.3,341.3,ｲﾀｽﾞﾗ,クール,攻守,小ダウン,,
,1201901,Cu,R,[制服ﾍﾞｰｼﾞｭ],天海春香,,8,1000,1000,1000,1000,●,125.0,125.0,やる気全開,全タイプ,攻守,小アップ,,
,1201902,Cu,R,[制服ｸﾞﾚｰ],天海春香,,8,1100,1100,1300,1300,●,162.5,162.5,やる気全開,全タイプ,攻守,小アップ,,
,1201903,Cu,R,[制服ﾋﾟﾝｸ],天海春香,,8,1170,1170,1400,1400,●,175.0,175.0,やる気全開,全タイプ,攻守,小アップ,,
,1201904,Cu,R,[制服ﾌﾞﾗｯｸ],天海春香,,8,1260,1260,1500,1500,●,187.5,187.5,やる気全開,全タイプ,攻守,小アップ,,
,1202001,Cu,R,[聖夜],小日向美穂,,8,1270,840,3329,2216,●,416.1,277.0,ｷｭｰﾄﾎﾞｲｽ,キュート,攻,小アップ,,
,1202101,Cu,R,,井村雪菜,,7,930,930,2426,2426,●,346.6,346.6,-,-,-,-,,
,1202201,Cu,R,[新春],道明寺歌鈴,,9,950,1430,2489,3749,●,276.6,416.6,ｷｭｰﾄﾎﾞｲｽ,キュート,守,小アップ,,
,1202301,Cu,R,,日下部若葉,,12,2590,1730,6804,4536,●,567.0,378.0,ｴﾝｼﾞｪﾙﾎﾞｲｽ,キュート,攻,大アップ,,
,1202401,Cu,R,,榊原里美,,10,1280,1920,3360,5040,○,336.0,504.0,-,-,-,-,,
,1202501,Cu,R,,輿水幸子,,7,920,900,2415,2363,○,345.0,337.6,-,-,-,-,,
,1202601,Cu,R,,安斎都,,7,980,920,2573,2415,○,367.6,345.0,まねっこﾎｰﾑｽﾞ,キュート,攻,中アップ,,
,1202701,Cu,R,,浅野風香,,9,1680,1200,4410,3150,○,490.0,350.0,-,-,-,-,,
,1202801,Cu,R,,大西由里子,,11,1320,2280,3465,5985,●,315.0,544.1,腐女子ﾄｰｸ,クール,攻,中ダウン,,
,1202901,Cu,R,[ﾊﾞﾚﾝﾀｲﾝ],緒方智絵里,,11,1800,1760,4725,4620,○,429.5,420.0,天使のｽﾏｲﾙ,キュート,攻守,小アップ,,
,1203001,Cu,R,,安部菜々,,11,1820,2580,5233,7418,●,475.7,674.4,ﾒﾙﾍﾝﾁｪﾝｼﾞ,全タイプ,攻,中ダウン,,
,1203101,Cu,R,[制服ｸﾞﾘｰﾝ],高槻やよい,,8,1200,900,1200,900,●,150.0,112.5,元気いっぱい,全タイプ,攻,小アップ,,
,1203102,Cu,R,[制服ﾌﾞﾗｳﾝ],高槻やよい,,8,1360,1020,1600,1200,●,200.0,150.0,元気いっぱい,全タイプ,攻,小アップ,,
,1203103,Cu,R,[制服ﾌﾞﾗｯｸ],高槻やよい,,8,1520,1190,1800,1400,●,225.0,175.0,元気いっぱい,全タイプ,攻,小アップ,,
,1203104,Cu,R,[制服ﾈｲﾋﾞｰ],高槻やよい,,8,1700,1370,2000,1600,●,250.0,200.0,元気いっぱい,全タイプ,攻,小アップ,,
,1203201,Cu,R,,工藤忍,,9,1440,1440,3780,3780,○,420.0,420.0,-,-,-,-,,
,1203301,Cu,R,,栗原ﾈﾈ,,12,2720,1600,7140,4200,○,595.0,350.0,癒しの女神,キュート,攻,中アップ,,
,1203401,Cu,R,[ひな祭り],福山舞,,8,1020,1140,2678,2993,○,334.8,374.1,-,-,-,-,,
,1203501,Cu,R,[純粋奏者],水本ゆかり,,12,2600,1800,6825,4725,○,568.8,393.8,きらめきの旋律,全タイプ,攻,中アップ,,
,1203601,Cu,R,,古賀小春,,7,1080,740,2835,1943,○,405.0,277.6,ｷｭｰﾄｽﾏｲﾙ,キュート,攻,小アップ,,
,1203701,Cu,R,[お花見],中野有香,,10,1360,1760,3570,4620,○,357.0,462.0,ﾍﾞﾘｨｷｭｰﾄｽﾀｲﾙ,キュート,守,小アップ,,
,1203801,Cu,R,[制服ｺﾚｸｼｮﾝ],楊菲菲,,12,1560,2640,4095,6930,○,341.3,577.5,ﾊｰﾄﾃﾞﾘﾊﾞﾘｰ,キュート,守,中アップ,,
,1203901,Cu,R,[ﾃｰﾏﾊﾟｰｸ],柳瀬美由紀,,9,1200,1520,3150,3990,○,350.0,443.3,-,-,-,-,,
,1204001,Cu,R,[ｳｻｺちゃんと],持田亜里沙,,11,1520,2280,3990,5985,○,362.7,544.1,いっしょにうたお,キュート,攻守,中アップ,,
,1204101,Cu,R,[ﾊﾟｼﾞｬﾏﾊﾟｰﾃｨｰ],緒方智絵里,,12,2880,1600,7560,4200,○,630.0,350.0,ｷｭｰﾄｽﾀｰ,キュート,攻,中アップ,,
,1204201,Cu,R,[ﾊﾟｼﾞｬﾏﾊﾟｰﾃｨｰ],間中美里,,8,1240,1440,3255,3780,○,406.9,472.5,-,-,-,-,,
,1204301,Cu,R,,ｸﾗﾘｽ,,8,1100,980,2888,2573,○,361.0,321.6,聖なる歌声,キュート,攻,中アップ,,
,1204401,Cu,R,[ｽﾎﾟｰﾂ祭],今井加奈,,11,2000,1800,5250,4725,○,477.3,429.5,ﾗﾌﾞﾘｰﾋﾟｰｽ,全タイプ,攻守,小アップ,,
,1204501,Cu,R,[ｱﾆﾏﾙﾊﾟｰｸ],日下部若葉,,10,1560,1440,4095,3780,○,409.5,378.0,-,-,-,-,,
,1204601,Cu,R,[ﾌﾘﾙﾄﾞ☆ﾌﾟﾘﾝｾｽ],古賀小春,,13,2720,2280,7140,5985,○,549.2,460.4,ﾌﾟﾘｽﾞﾑｽﾏｲﾙ,キュート,攻,大アップ,,
,1204701,Cu,R,,佐久間まゆ,,8,1260,820,3308,2153,○,413.5,269.1,ﾘﾎﾞﾝｱﾋﾟｰﾙ,キュート,攻,中アップ,,
,1204801,Cu,R,[ﾃﾞｨｰﾗｰｽﾞﾊｰﾄ],兵藤ﾚﾅ,,12,2200,1800,5775,4725,○,481.3,393.8,勝利の方程式,全タイプ,攻,中アップ,2014/01/17 データが消えていたので再追加,
,1204901,Cu,R,[浴衣祭り],奥山沙織,,12,2500,1860,6563,4883,○,546.9,406.9,ﾆｭｰｽﾃｯﾌﾟ,キュート,攻,中アップ,,
,1205001,Cu,R,[ｻﾏｰﾗｲﾌﾞ],栗原ﾈﾈ,,9,1580,1220,4148,3203,○,460.9,355.9,-,-,-,-,,
,1205101,Cu,R,[ﾏｰﾒｲﾄﾞﾊﾟﾗﾀﾞｲｽ],横山千佳,,10,1540,1920,4043,5040,○,404.3,504.0,ﾘﾄﾙﾏｰﾒｲﾄﾞ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,守,小アップ,,
,1205201,Cu,R,[ﾏｰﾒｲﾄﾞﾊﾟﾗﾀﾞｲｽ],五十嵐響子,,13,2980,1840,7823,4830,○,601.8,371.5,ﾏｰﾒｲﾄﾞﾊｰﾄ,ｷｭｰﾄ･ｸｰﾙ,攻,大アップ,,
,1205301,Cu,R,[ﾆｭｰｳｪｰﾌﾞ],村松さくら,,11,2000,1340,5250,3518,○,477.3,319.8,-,-,-,-,,
,1205401,Cu,R,[制服ﾍﾞｰｼﾞｭ],菊地真,,8,900,1200,900,1200,●,112.5,150.0,可愛さｱﾋﾟｰﾙ,全タイプ,攻,小ダウン,,
,1205402,Cu,R,[制服ﾌﾞﾙｰ],菊地真,,8,1020,1460,1200,1700,●,150.0,212.5,可愛さｱﾋﾟｰﾙ,全タイプ,攻,小ダウン,,
,1205403,Cu,R,[制服ﾌﾞﾗｯｸ],菊地真,,8,1290,1710,1500,2000,●,187.5,250.0,可愛さｱﾋﾟｰﾙ,全タイプ,攻,小ダウン,,
,1205404,Cu,R,[制服ﾎﾜｲﾄ],菊地真,,8,1560,1980,1800,2300,●,225.0,287.5,可愛さｱﾋﾟｰﾙ,全タイプ,攻,小ダウン,,
,1205501,Cu,R,[ﾒｲﾄﾞｺﾚｸｼｮﾝ],ｸﾗﾘｽ,,12,1600,2880,4200,7560,○,350.0,630.0,ｽｲｰﾄｱﾌｪｸｼｮﾝ,ｷｭｰﾄ･ｸｰﾙ,守,大アップ,,
,1205601,Cu,R,[学園祭],工藤忍,,10,1200,1840,3150,4830,○,315.0,483.0,-,-,-,-,,
,1205701,Cu,R,[ﾊﾟﾜﾌﾙ&ｽﾏｲﾙ],中野有香,,12,1800,2620,4725,6878,○,393.8,573.2,まっすぐな眼差し,キュート,攻守,中アップ,,
,1205801,Cu,R,[ﾊﾛｳｨﾝﾊﾟｰﾃｨｰ],佐久間まゆ,,12,1620,2900,4253,7613,○,354.4,634.4,ﾄﾘｯｸｵｱﾊｰﾄ,全タイプ,攻,大ダウン,,
,1205901,Cu,R,[京町乙女],緒方智絵里,,11,1980,1320,5198,3465,○,472.5,315.0,乱れ紅葉の舞,キュート,攻,小アップ,,
,1206001,Cu,R,[ﾊﾛｳｨﾝｳﾞｧﾝﾊﾟｲｱ],関裕美,,10,1280,1880,3360,4935,○,336.0,493.5,-,-,-,-,,
,1206101,Cu,R,[ﾗﾌﾞﾘｰ魔女っ娘],横山千佳,,13,2920,2160,7665,5670,○,589.6,436.2,ﾗﾌﾞﾘｰﾁｪﾝｼﾞ!,キュート,攻,大アップ,,
,1206201,Cu,R,[湯けむり温泉],長富蓮実,,10,1700,1940,4463,5093,×,446.3,509.3,ｸﾗｼｯｸｽﾀｲﾙ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻守,小アップ,,
,1206301,Cu,R,[湯けむり温泉],兵藤ﾚﾅ,,13,3020,1960,7928,5145,×,609.8,395.8,勝負師のｶﾝ,キュート,攻,大アップ,,
,1206401,Cu,R,,丹羽仁美,,9,1100,1260,2888,3308,×,320.9,367.6,華の大傾奇,キュート,守,中アップ,,
,1206501,Cu,R,[ｱﾒﾘｶﾝｽﾀｲﾙ],村松さくら,,10,1260,1780,3308,4673,×,330.8,467.3,ﾋﾟﾝｷｯｼｭﾗｲﾌﾞ,全タイプ,守,小アップ,,
,1206601,Cu,R,[ｱﾆﾊﾞｰｻﾘｰﾋﾟﾝｸ],道明寺歌鈴,,12,2000,1760,5250,4620,×,437.5,385.0,しっかりｽﾏｲﾙ,キュート,攻守,小アップ,ｱｲﾄﾞﾙﾌﾟﾛﾃﾞｭｰｽ the 1st Anniversary,
,1206701,Cu,R,[ｸﾘｽﾏｽﾊﾟｰﾃｨｰ],原田美世,,12,1660,2940,4358,7718,○,363.2,643.2,ﾊｰﾄﾌﾟﾚｾﾞﾝﾄ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,守,大アップ,「1周年記念ｸﾘｽﾏｽﾊﾟｰﾃｨｰ」ｶﾞﾁｬ,
,1206801,Cu,R,[ｺﾞｽﾍﾟﾙﾄﾞﾚｽ],相原雪乃,,9,1060,1060,2783,2783,×,309.2,309.2,ｸﾘｽﾏｽﾀｲﾑ,キュート,攻守,中アップ,イベント第25弾 アイドルサバイバル 聖歌響くクリスマス,
,1206901,Cu,R,[ｴﾚｶﾞﾝﾄﾚｯﾄﾞ],月宮雅,,13,2960,2140,7770,5618,×,597.7,432.2,幸せのｵｰﾅﾒﾝﾄ,キュート,攻,中～特大アップ,第2弾｢ﾊｯﾋﾟｰｸﾘｽﾏｽ｣ｶﾞﾁｬ,
,1207001,Cu,R,[ﾆｭｰｲﾔｰ],安部菜々,,12,1980,1800,5198,4725,×,433.2,393.8,ﾒﾙﾍﾝｽﾀｲﾙ,キュート,攻守,小アップ,イベント第26弾 新春アイドルプロデュース,
,1207101,Cu,R,[新春ｺﾚｸｼｮﾝ],江上椿,,11,2240,1840,5880,4830,×,534.5,439.1,花よりしるこ,ｷｭｰﾄ･ｸｰﾙ,攻,中アップ,,
,1207201,Cu,R,[ｺｽﾒﾃｨｯｸｶﾞｰﾙ],井村雪菜,,12,2380,1700,6248,4463,○,520.7,371.9,ｾｸｼｰﾙｰｼﾞｭ,全タイプ,攻,中アップ,,
,1207301,Cu,R,[ﾎﾜｲﾄﾄﾞﾛｯﾌﾟ],工藤忍,,13,2860,2080,7508,5460,×,577.5,420.0,純白の心,キュート,攻,大アップ,,
,1207401,Cu,R,,白菊ほたる,,10,1360,1280,3570,3360,×,357.0,336.0,諦めない気持ち,キュート,攻,中アップ,北海道エリア衣装「ｸﾗｼｶﾙｷｭｰﾃｨｰ」,
,1207501,Cu,R,[UKｽﾀｲﾙ],涼宮星花,,11,1800,1720,4725,4515,×,429.5,410.5,ｽｳｨｰﾄﾌﾗｯｸﾞ,全タイプ,攻守,小アップ,ｱｲﾄﾞﾙLIVEﾂｱｰ in ｲｷﾞﾘｽ,
,1207601,Cu,R,[ﾊﾞﾚﾝﾀｲﾝﾊﾟｰﾃｨｰ],佐久間まゆ,,12,1660,2960,4358,7770,○,363.2,647.5,ｽｶｰﾚｯﾄﾘﾎﾞﾝ,自分,守,大～特大アップ,2013/02/01～ ﾊﾞﾚﾝﾀｲﾝﾊﾟｰﾃｨｰガチャ期間限定R,
,1207701,Cu,R,[ﾊｯﾋﾟｰﾊﾞﾚﾝﾀｲﾝ],椎名法子,,11,2060,1480,5408,3885,○,491.6,353.2,ｽｲｰﾄﾄﾞｰﾅﾂ,キュート,攻,小アップ,,
,1207801,Cu,R,[ｽﾏｲﾙﾊﾞﾚﾝﾀｲﾝ],椎名法子,,11,2240,1280,5880,3360,×,534.5,305.5,ｽｲｰﾄﾄﾞｰﾅﾂ,キュート,攻,小アップ,,
,1207901,Cu,R,[ﾊﾟｼﾞｬﾏﾌﾞﾙｰ],古賀小春,,9,1700,1400,1700,1400,●,188.9,155.6,わくわくﾌﾟﾗｲﾍﾞｰﾄ,全タイプ,攻,小アップ,,
,1207902,Cu,R,[ﾊﾟｼﾞｬﾏｸﾞﾘｰﾝ],古賀小春,,9,1960,1520,2300,1800,●,255.6,200.0,わくわくﾌﾟﾗｲﾍﾞｰﾄ,全タイプ,攻,小アップ,,
,1207903,Cu,R,[ﾊﾟｼﾞｬﾏｲｴﾛｰ],古賀小春,,9,2200,1780,2600,2100,●,288.9,233.3,わくわくﾌﾟﾗｲﾍﾞｰﾄ,全タイプ,攻,小アップ,,
,1207904,Cu,R,[ﾊﾟｼﾞｬﾏﾋﾟﾝｸ],古賀小春,,9,2470,2050,2900,2400,●,322.2,266.7,わくわくﾌﾟﾗｲﾍﾞｰﾄ,全タイプ,攻,小アップ,,
,1208001,Cu,R,[探偵ﾒｲﾄﾞﾙ],安斎都,,13,3040,1960,7980,5145,×,613.8,395.8,ｵｰﾀﾞｰ聴取,キュート,攻,中～特大アップ,新・メイドコレクションリミテッドガチャ,
,1208101,Cu,R,[ひな祭り],池袋晶葉,,11,1380,2160,3623,5670,×,329.4,515.5,ひな祭りﾛﾎﾞ,キュート,攻守,中アップ,,
,1208201,Cu,R,[ﾒﾙﾍﾝ&ｺﾞｼｯｸ],櫻井桃華,,13,3040,2000,7980,5250,×,613.8,403.8,ﾌﾘﾙﾄﾞｹｰｼﾞ,キュート,攻,中～特大アップ,,
,1208301,Cu,R,[ﾒﾙﾍﾝ&ｺﾞｼｯｸ],大西由里子,,10,1720,1940,4515,5093,×,451.5,509.3,ﾕﾘﾕﾘ開花,ｷｭｰﾄ･ｸｰﾙ,攻守,小アップ,,
,1208401,Cu,R,[ｽﾌﾟﾘﾝｸﾞｽｲｰﾄﾋﾟｰ],太田優,,12,2260,2300,5933,6038,×,494.4,503.2,わんﾀﾞﾌﾙｱﾋﾟｰﾙ,ｸｰﾙ･ﾊﾟｯｼｮﾝ,攻守,中ダウン,ｱｲﾄﾞﾙｻﾊﾞｲﾊﾞﾙ ひな祭り2013・追加ｷｬﾗ,
,1208501,Cu,R,,早坂美玲,,10,1440,1360,3780,3570,×,378.0,357.0,ひっかくぞ!,ｸｰﾙ･ﾊﾟｯｼｮﾝ,守,中ダウン,仙台エリアボス,
,1208601,Cu,R,[ｲﾀﾘｱﾝｽﾀｲﾙ],榊原里美,,10,1280,1940,3360,5093,×,336.0,509.3,ｿﾌﾃｨｷｳｲ,全タイプ,守,小アップ,,
,1208701,Cu,R,[ﾌﾟﾘﾃｨ☆ｳｨｯﾁ],柳瀬美由紀,,13,2580,2540,6773,6668,×,521.0,512.9,ｲﾀｽﾞﾗなお歌,キュート,攻守,大アップ,,
,1208801,Cu,R,[桜祭り],桃井あずき,,12,1940,2060,5093,5408,×,424.4,450.7,ﾊﾟｰﾃｨｰ大作戦,キュート,攻守,小アップ,,
,1208901,Cu,R,[桜祭りｽﾏｲﾙ],桃井あずき,,12,2060,1940,5408,5093,×,450.7,424.4,ﾊﾟｰﾃｨｰ大作戦,キュート,攻守,小アップ,,
,1209001,Cu,R,[制服ｺﾚｸｼｮﾝ],丹羽仁美,,11,2300,1780,6038,4673,×,548.9,424.8,文武両道!,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻,中アップ,制服コレクション２０１３ガチャ,
,1209101,Cu,R,[ｽｽﾞﾗﾝの少女],白菊ほたる,,13,2540,2440,6668,6405,×,512.9,492.7,幸せの花,キュート,攻守,大アップ,,
,1209201,Cu,R,[ﾃﾞﾋﾞﾘｯｼｭｺﾞｼｯｸ],柳清良,,11,1960,2080,5145,5460,×,467.7,496.4,ｽﾃｷなお注射,ｷｭｰﾄ･ﾊﾟｯｼｮﾝ,攻守,小アップ,,
,1209301,Cu,R,[ﾃﾞﾋﾞﾘｯｼｭｺﾞｼｯｸ],棟方愛海,,13,3020,2040,7928,5355,×,609.8,411.9,いたずらわきわき,キュート,攻,大～特大アップ,,
,1209401,Cu,R,[ﾗﾌﾞﾘｰ☆ﾊﾞﾗﾄﾞﾙ],赤西瑛梨華,,12,2640,1840,6930,4830,○,577.5,402.5,1発ｷﾞｬｸﾞ,全タイプ,攻,中アップ,,
,1209501,Cu,R,[ﾃｰﾏﾊﾟｰｸ],浅野風香,,12,1640,2280,4305,5985,×,358.8,498.8,お姫さまの自信,キュート,攻守,中アップ,アイドルサバイバル inテーマパーク2013,
,1209601,Cu,R,[ﾎﾟｯﾋﾟﾝﾊﾟﾝｸ],早坂美玲,,13,3000,1820,7875,4778,○,605.8,367.5,ﾂﾒあたっく,ｷｭｰﾄ･ｸｰﾙ,攻,大アップ,,
